eduid,id,official_name,official_short,official_address,official_region,official_years,our_name,our_short,our_years
100014043,000162230,Obchodná akadémia,Obchodná akadémia,"Daxnerova 88, Vranov nad Topľou",Prešovský,"ss:9,ss:4",,,
100001204,000162311,Stredná odborná škola vinársko - ovocinárska,SOŠ vinársko-ovocinár.,"Kostolná 3, Modra",Bratislavský,"ss:9,ss:4",,,
100005506,000162353,Stredná odborná škola poľnohospodárstva a služieb na vidieku,SOŠ poľn. a služ.,"Na lúkach 18, Levice",Nitriansky,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100005753,000162370,Stredná odborná škola veterinárna,SOŠ veterinárna,"Drážovská 14, Nitra",Nitriansky,"ss:9,ss:4",,,
100003067,000162451,Stredná odborná škola poľnohospodárstva a služieb na vidieku,SOŠ poľn. a služ. na v.,"Zavarská 9, Trnava",Trnavský,"ss:9,ss:4",,,
100009214,000162558,Stredná odborná škola poľnohospodárstva a služieb na vidieku,SOŠ poľ. a sl. na vid.,"Predmestská 82, Žilina",Žilinský,"ss:9,ss:4",,,
100014960,000162574,Stredná odborná škola veterinárna,SOŠ veterinárna,"Námestie mladých poľnohospodárov 2, Košice-Barca",Košický,"ss:9,ss:4",,,
100016539,000162663,Súkromná stredná odborná škola DSA,Súkr. SOŠ DSA,"Komenského 12, Trebišov",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100007698,000162701,Stredná odborná škola lesnícka a drevárska Jozefa Dekreta Matejovie,SOŠ les. a drev. J.D.M.,"Hradná, Liptovský Hrádok",Žilinský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100009601,000162710,Stredná odborná škola lesnícka,SOŠ lesnícka,"Akademická 16, Banská Štiavnica",Banskobystrický,"ss:9,ss:4",,,
100001212,000162787,Stredná odborná škola pedagogická,SOŠ pedagogická,"Sokolská 6, Modra",Bratislavský,"ss:9,ss:4",,,
100005486,000162795,Stredná odborná škola pedagogická,SOŠ pedagogická,"Ul. F. Engelsa 3, Levice",Nitriansky,"ss:9,ss:4",,,
100010065,000162809,Stredná odborná škola pedagogická - Pedagógiai Szakközépiskola,SOŠ pedagogická,"Komenského 12, Lučenec",Banskobystrický,"ss:9,ss:4",,,
100008690,000162817,Stredná odborná škola pedagogická,SOŠ pedagogická,"SNP 116, Turčianske Teplice",Žilinský,"ss:9,ss:4",,,
100012846,000162825,Stredná odborná škola pedagogická,Stredná odborná škola pedagogická,"Kmeťovo stromoradie 5, Prešov",Prešovský,"ss:9,ss:4",,,
100012208,000162833,Stredná odborná škola pedagogická,Stredná odborná škola pedagogická,"Bottova 15A, Levoča",Prešovský,"ss:9,ss:4",,,
100003472,000162922,Odborné učilište internátne,OU internátne,"Hviezdoslavova 668, Ladce",Trenčiansky,"ss:3,ss",,,
100012463,000162931,Odborné učilište internátne,Odborné učilište int.,"Šrobárova 20, Poprad",Prešovský,"ss:3,ss,zs",,,
100007646,000163121,Základná škola internátna pre žiakov s narušenou komunikačnou schopnosťou,ZŠi pre žiakov s NKS,Jamník,Žilinský,"ss:9,ss:10,zs:10,zs:9",,,
100010965,000215589,Stredná priemyselná škola dopravná,SPŠ dopravná,"Sokolská 94, Zvolen",Banskobystrický,"ss:9,ss:4",,,
100004621,000351806,Stredná odborná škola obchodu a služieb,SOŠ obchodu a služieb,"Jilemnického 24, Trenčín",Trenčiansky,"ss:3,ss:5,ss:1,ss:9,ss:4,ss:2",,,
